bay_id,st_marker_id,status,location,lat,lon
5542,12017W,Present,"(-37.81323985591021, 144.98295410682363)",-37.81323985591021,144.98295410682363
2415,C2652,Unoccupied,"(-37.80961790607154, 144.97135797948957)",-37.80961790607154,144.97135797948957
6279,13436E,Unoccupied,"(-37.8189230570507, 144.9486153657319)",-37.8189230570507,144.9486153657319
1995,3413S,Present,"(-37.81026292126237, 144.96543570907704)",-37.81026292126237,144.96543570907704
2131,3707S,Present,"(-37.80916993592463, 144.96551450156215)",-37.80916993592463,144.96551450156215
5800,12528N,Unoccupied,"(-37.81530713853651, 144.9763581484129)",-37.81530713853651,144.9763581484129
720,553W,Present,"(-37.80947741609681, 144.96925140611302)",-37.80947741609681,144.96925140611302
6306,13369W,Unoccupied,"(-37.81961403369341, 144.94972824253819)",-37.81961403369341,144.94972824253819
2097,3607S,Unoccupied,"(-37.80779664316912, 144.97021253486525)",-37.80779664316912,144.97021253486525
6632,13922E,Unoccupied,"(-37.814024629834215, 144.9426339252993)",-37.814024629834215,144.9426339252993
6557,13775W,Unoccupied,"(-37.81206631633805, 144.93840983884374)",-37.81206631633805,144.93840983884374
2005,3433S,Unoccupied,"(-37.8107886031315, 144.96364732449337)",-37.8107886031315,144.96364732449337
2748,4578E,Present,"(-37.8079891892026, 144.9660188302588)",-37.8079891892026,144.9660188302588
5313,7813W,Present,"(-37.829452221386546, 144.9710348841311)",-37.829452221386546,144.9710348841311
5062,9839S,Unoccupied,"(-37.82530167316905, 144.96985395828017)",-37.82530167316905,144.96985395828017
5155,9980N,Present,"(-37.82605433805951, 144.96692366307823)",-37.82605433805951,144.96692366307823
6517,13748E,Present,"(-37.81281242254772, 144.93655835965987)",-37.81281242254772,144.93655835965987
1155,C1252,Present,"(-37.811842425964684, 144.9592572232143)",-37.811842425964684,144.9592572232143
6325,13468E,Unoccupied,"(-37.818566865340514, 144.949707222129)",-37.818566865340514,144.949707222129
4822,9208N,Present,"(-37.8311560595271, 144.96675562508915)",-37.8311560595271,144.96675562508915
2586,C3162,Unoccupied,"(-37.81392046068399, 144.9566026852782)",-37.81392046068399,144.9566026852782
2098,3609S,Unoccupied,"(-37.807815236979735, 144.97014888152114)",-37.807815236979735,144.97014888152114
6584,13864N,Unoccupied,"(-37.81237334717839, 144.94104656806854)",-37.81237334717839,144.94104656806854
867,698E,Unoccupied,"(-37.81399837476948, 144.96877260510848)",-37.81399837476948,144.96877260510848
5318,7823W,Present,"(-37.82918128727978, 144.971038392475)",-37.82918128727978,144.971038392475
5796,12520N,Unoccupied,"(-37.81527779729569, 144.97608851401378)",-37.81527779729569,144.97608851401378
4937,9363S,Unoccupied,"(-37.82968712862621, 144.96789362954)",-37.82968712862621,144.96789362954
5101,9899S,Unoccupied,"(-37.82566542745289, 144.9686084299646)",-37.82566542745289,144.9686084299646
1358,1380E,Unoccupied,"(-37.81208823449404, 144.95669341726312)",-37.81208823449404,144.95669341726312
5482,11887W,Unoccupied,"(-37.81055294183621, 144.97808174414126)",-37.81055294183621,144.97808174414126
2364,3097S,Present,"(-37.813570912806014, 144.9581638153537)",-37.813570912806014,144.9581638153537
4795,9104N,Present,"(-37.82999106609318, 144.97072232724145)",-37.82999106609318,144.97072232724145
3366,6175W,Unoccupied,"(-37.80416169493709, 144.94315860833404)",-37.80416169493709,144.94315860833404
5075,9856N,Present,"(-37.825208989607134, 144.96980166457712)",-37.825208989607134,144.96980166457712
5333,7853W,Unoccupied,"(-37.82709314774001, 144.97114692761693)",-37.82709314774001,144.97114692761693
